"title";"ad_link";"img_link";"price";"price_currency";"transmission";"production_date";"fuel_type";"color";"brand"
"Chevrolet Cruze I";"https://auto.ru/cars/used/sale/chevrolet/cruze/1099454718-dff5bc4f/";"https://avatars.mds.yandex.net/get-autoru-vos/2073135/15f5ca8d639e4e83c6af84449e0f6fee/320x240";445000;"RUB";"автоматическая";2012;"бензин";"белый";"CHEVROLET"
"Mercedes-Benz E-Класс  III (W211, S211) Рестайлинг 200";"https://auto.ru/cars/used/sale/mercedes/e_klasse/1098721820-2edeead7/";"https://avatars.mds.yandex.net/get-autoru-vos/2155411/b920eaecdcffcf309c3ed4c0ecabfe5e/320x240";499000;"RUB";"автоматическая";2008;"дизель";"серебристый";"MERCEDES"
"Mitsubishi Outlander III";"https://auto.ru/cars/used/sale/mitsubishi/outlander/1099039246-f02ed0bc/";"https://avatars.mds.yandex.net/get-autoru-vos/2181747/cc4a140429c5b62e2c2f2264bc868114/320x240";985000;"RUB";"вариатор";2014;"бензин";"белый";"MITSUBISHI"
"Mitsubishi Pajero Sport II";"https://auto.ru/cars/used/sale/mitsubishi/pajero_sport/1098944804-25c7b25d/";"https://avatars.mds.yandex.net/get-autoru-vos/2164685/a681a008311c5a06144ee87e467c5d9a/320x240";998000;"RUB";"автоматическая";2013;"дизель";"чёрный";"MITSUBISHI"
"Mitsubishi Outlander III";"https://auto.ru/cars/used/sale/mitsubishi/outlander/1098642952-425e1405/";"https://avatars.mds.yandex.net/get-autoru-vos/2072159/11d1881084625f2f6d96079ff015163a/320x240";778000;"RUB";"вариатор";2012;"бензин";"серый";"MITSUBISHI"
"Mitsubishi Outlander III Рестайлинг 2";"https://auto.ru/cars/used/sale/mitsubishi/outlander/1098573550-476daf37/";"https://avatars.mds.yandex.net/get-autoru-vos/1723628/4fa17fab6c1cbc07164ab4bcdb6a7350/320x240";1115000;"RUB";"вариатор";2018;"бензин";"чёрный";"MITSUBISHI"
"Mitsubishi Pajero Sport II";"https://auto.ru/cars/used/sale/mitsubishi/pajero_sport/1098359174-6b3a6b37/";"https://avatars.mds.yandex.net/get-autoru-vos/2165317/e934b00b8b9efe257413c7249b693965/320x240";748000;"RUB";"автоматическая";2008;"дизель";"серебристый";"MITSUBISHI"
"Hyundai Tucson I";"https://auto.ru/cars/used/sale/hyundai/tucson/1099470620-b2ef2bc9/";"https://avatars.mds.yandex.net/get-autoru-vos/2095416/c53d2ac780ee4908e9036fe059bc452b/320x240";490000;"RUB";"механическая";2008;"бензин";"серебристый";"HYUNDAI"
"LADA (ВАЗ) 2109";"https://auto.ru/cars/used/sale/vaz/2109/1099468594-c387f98f/";"https://avatars.mds.yandex.net/get-autoru-vos/1923686/9bfc6c496730ee53e0f911b61fb754dc/320x240";39000;"RUB";"механическая";1997;"бензин";"серый";"VAZ"
"BMW X5  II (E70) Рестайлинг 40d";"https://auto.ru/cars/used/sale/bmw/x5/1093383668-281b50f6/";"https://avatars.mds.yandex.net/get-autoru-vos/1922129/a2c5804dee328919d1d2100da450d49a/320x240";1495000;"RUB";"автоматическая";2011;"дизель";"чёрный";"BMW"
"Land Rover Range Rover IV Рестайлинг";"https://auto.ru/cars/used/sale/land_rover/range_rover/1099478004-0a5dad66/";"https://avatars.mds.yandex.net/get-autoru-vos/2103467/c077c021739ea61cbbf950249847e270/320x240";6990000;"RUB";"автоматическая";2019;"дизель";"чёрный";"LAND_ROVER"
"Kia Picanto I Рестайлинг";"https://auto.ru/cars/used/sale/kia/picanto/1099487106-93ea33a8/";"https://avatars.mds.yandex.net/get-autoru-vos/2159933/5ec0efa4084c6b4beee8d143307459d3/320x240";290000;"RUB";"автоматическая";2008;"бензин";"серый";"KIA"
"Renault Sandero II";"https://auto.ru/cars/used/sale/renault/sandero/1099438830-815de10f/";"https://avatars.mds.yandex.net/get-autoru-vos/2035720/003e43dbeed24a3d59a2ef294e1fb280/320x240";509000;"RUB";"механическая";2014;"бензин";"чёрный";"RENAULT"
"Renault Kaptur I";"https://auto.ru/cars/used/sale/renault/kaptur/1099301578-edf1cb81/";"https://avatars.mds.yandex.net/get-autoru-vos/2023570/dd5df8f661429ea8660b142f8b104b37/320x240";695000;"RUB";"вариатор";2018;"бензин";"белый";"RENAULT"
"Renault Logan II";"https://auto.ru/cars/used/sale/renault/logan/1099228546-8f127ed1/";"https://avatars.mds.yandex.net/get-autoru-vos/2162278/098c91d5bfeddb63a0bd6555e9fc605d/320x240";555000;"RUB";"автоматическая";2016;"бензин";"синий";"RENAULT"
"Kia Rio IV";"https://auto.ru/cars/used/sale/kia/rio/1099487372-10c175a8/";"https://avatars.mds.yandex.net/get-autoru-vos/1998116/c2762288d14c44103b6dad6f10912998/320x240";699000;"RUB";"автоматическая";2017;"бензин";"красный";"KIA"
"Ford Kuga II Рестайлинг";"https://auto.ru/cars/used/sale/ford/kuga/1099451616-08736c71/";"https://avatars.mds.yandex.net/get-autoru-vos/2203170/dbc5d608fa6047a0db7ad2fb77f2657d/320x240";0;"RUB";"автоматическая";2018;"бензин";"коричневый";"FORD"
"Kia Optima IV";"https://auto.ru/cars/used/sale/kia/optima/1099487274-8679bc4f/";"https://avatars.mds.yandex.net/get-autoru-vos/2048373/66d0c4066718b9a06558fb5e334b2438/320x240";1399000;"RUB";"автоматическая";2017;"бензин";"чёрный";"KIA"
"Lifan X60 I";"https://auto.ru/cars/used/sale/lifan/x60/1098813974-de7aa036/";"https://avatars.mds.yandex.net/get-autoru-vos/2035927/7d916009373e0821cff306516c69c4af/320x240";475000;"RUB";"автоматическая";2015;"бензин";"серый";"LIFAN"
"Lifan Solano II";"https://auto.ru/cars/used/sale/lifan/solano/1098219512-48d48e20/";"https://avatars.mds.yandex.net/get-autoru-vos/1996369/693d9b841441f2868f22d519084830c8/320x240";429000;"RUB";"механическая";2016;"бензин";"красный";"LIFAN"
"Renault Logan I Рестайлинг";"https://auto.ru/cars/used/sale/renault/logan/1099470634-532112df/";"https://avatars.mds.yandex.net/get-autoru-vos/2128077/b64eea19a871e1e6bdaadf95eb2dd544/320x240";209000;"RUB";"механическая";2013;"бензин";"белый";"RENAULT"
